Date,Open,High,Low,Close,Adj Close,Volume
1973-09-11,7.162123,7.162123,7.052658,7.130847,1.620611,630682
1973-09-12,7.130847,7.177761,7.021383,7.083934,1.609950,482004
1973-09-13,7.083934,7.130847,7.021383,7.099572,1.613502,572330
1973-09-14,7.130847,7.349777,7.130847,7.318501,1.663259,574728
1973-09-17,7.381052,7.537431,7.381052,7.521793,1.709461,1003976
1973-09-18,7.521793,7.537431,7.396690,7.412328,1.684583,1179032
1973-09-19,7.412328,7.553069,7.365415,7.553069,1.716568,966407
1973-09-20,7.631258,7.803274,7.631258,7.803274,1.773433,1210207
1973-09-21,7.803274,7.975290,7.709447,7.944014,1.805417,863292
1973-09-24,8.053479,8.131668,8.053479,8.116030,1.844511,1107891
1973-09-25,8.116030,8.209857,8.069117,8.069117,1.833851,1146259
1973-09-26,8.069117,8.147306,8.006565,8.084754,1.837403,999979
1973-09-27,8.084754,8.084754,7.897101,7.944014,1.805417,1001578
1973-09-28,7.944014,7.975290,7.850187,7.881463,1.791202,565136
1973-10-01,7.865825,7.865825,7.740722,7.850187,1.784094,477208
1973-10-02,7.850187,7.975290,7.850187,7.975290,1.812525,538758
1973-10-03,7.975290,8.022203,7.944014,7.990928,1.816081,573130
1973-10-04,7.990928,8.069117,7.990928,8.037841,1.826742,579524
1973-10-05,8.069117,8.319322,8.069117,8.303684,1.887159,713015
1973-10-08,8.303684,8.366235,8.147306,8.319322,1.890713,590715
1973-10-09,8.350597,8.553889,8.350597,8.491338,1.929807,991986
1973-10-10,8.475700,8.475700,8.256771,8.319322,1.890713,726604
1973-10-11,8.319322,8.413149,8.303684,8.397511,1.908484,512380
1973-10-12,8.397511,8.428787,8.288046,8.334960,1.894268,529166
1973-10-15,8.209857,8.209857,8.084754,8.084754,1.837403,454827
1973-10-16,8.084754,8.131668,7.975290,8.116030,1.844511,434044
1973-10-17,8.116030,8.272408,8.069117,8.194219,1.862280,370096
1973-10-18,8.209857,8.272408,8.209857,8.256771,1.876497,499590
1973-10-19,8.288046,8.397511,8.288046,8.381873,1.904928,521972
1973-10-22,8.381873,8.491338,8.334960,8.428787,1.915590,412462
